0.00,-0.00
1.94,-1.79
-2.09,-1.94
-2.09,2.09
1.79,1.94
4.18,-4.33
-4.48,-4.18
-4.48,4.33
4.18,4.33
8.07,-1.79
8.22,-8.22
3.14,-9.41
-3.14,-9.41
-8.37,-8.07
-8.37,-1.79
-8.51,2.24
-8.22,8.22
-2.24,8.37
1.79,8.37
8.51,8.22
8.22,2.09
15.83,-1.79
12.70,-12.40
4.48,-14.34
-4.18,-14.49
-12.70,-12.40
-14.64,-4.03
-14.79,4.63
-12.85,13.00
-4.48,14.94
4.18,14.79
12.25,13.00
17.03,1.94
22.71,-4.18
20.76,-12.40
20.91,-20.76
12.55,-20.62
4.48,-20.76
-4.33,-20.76
-12.85,-20.47
-20.76,-20.62
-20.91,-12.40
-21.06,-4.18
-20.91,4.78
-21.06,13.00
-21.06,21.36
-12.70,21.36
-4.63,21.21
4.03,21.21
12.25,21.36
20.62,21.36
20.76,12.70
22.56,4.63
26.59,-8.22
8.37,-26.74
-8.51,-26.44
-26.89,-3.88
-26.89,4.78
-8.51,27.04
8.07,27.19
26.74,8.22
